Filename,Identifier,scientificName,CommonName,Comments
"Synnomos_sp_san_luis_a,I_MFS9059.jpg",I_MFS9059,Synnomos sp_san_luis_a,,
"moth,I_MFS9060.jpg",I_MFS9060,moth,,
"moth,I_MFS9061.jpg",I_MFS9061,moth,,
"Crambidia_myrlosea,I_MFS9062.jpg",I_MFS9062,Crambidia myrlosea,,
"Nematocampa_completa,I_MFS9063.jpg",I_MFS9063,Nematocampa completa,,
"moth_Noctuidae,I_MFS9064.jpg",I_MFS9064,moth Noctuidae,,
"moth_Noctuidae,I_MFS9065.jpg",I_MFS9065,moth Noctuidae,,
"Macaria_delia,I_MFS9066.jpg",I_MFS9066,Macaria delia,,
"moth_Noctuidae,I_MFS9067.jpg",I_MFS9067,moth Noctuidae,,
"Nematocampa_completa,I_MFS9068.jpg",I_MFS9068,Nematocampa completa,,
"Nematocampa_completa,I_MFS9069.jpg",I_MFS9069,Nematocampa completa,,
"Euphyia_sp_group_san_luis,I_MFS9070.jpg",I_MFS9070,Euphyia sp_group_san_luis,,
"moth,I_MFS9071.jpg",I_MFS9071,moth,,
"Eupithecia_sp_group_san_luis,I_MFS9072.jpg",I_MFS9072,Eupithecia sp_group_san_luis,,
"Nemoria_defectiva,I_MFS9073.jpg",I_MFS9073,Nemoria defectiva,,
"moth_Geometridae,I_MFS9074.jpg",I_MFS9074,moth Geometridae,,
"moth_Crambidae,I_MFS9075.jpg",I_MFS9075,moth Crambidae,,
"moth_Notodontidae,I_MFS9076.jpg",I_MFS9076,moth Notodontidae,,
"insect,I_MFS9077.jpg",I_MFS9077,insect,,
"moth_Geometridae,I_MFS9078.jpg",I_MFS9078,moth Geometridae,,
"Meganola_sp_san_luis_b,I_MFS9079.jpg",I_MFS9079,Meganola sp_san_luis_b,,
"insect,I_MFS9080.jpg",I_MFS9080,insect,,
"Gn_sp_san_luis_2008,I_MFS9081.jpg",I_MFS9081,Gn sp_san_luis_2008,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_MFS9082.jpg",I_MFS9082,Crambidia cephalica,Yellow-headed Lichen Moth,
"Nematocampa_completa,I_MFS9084.jpg",I_MFS9084,Nematocampa completa,,
"moth_Megalopygidae_-_Limacodidae,I_MFS9085.jpg",I_MFS9085,moth Megalopygidae - Limacodidae,,
"moth_Geometridae,I_MFS9086.jpg",I_MFS9086,moth Geometridae,,
"moth,I_MFS9087.jpg",I_MFS9087,moth,,
"Gn_sp_san_luis_1003,I_MFS9088.jpg",I_MFS9088,Gn sp_san_luis_1003,,
"Antiblemma_concinnula,I_MFS9089.jpg",I_MFS9089,Antiblemma concinnula,,
"moth_Geometridae,I_MFS9090.jpg",I_MFS9090,moth Geometridae,,
"moth,I_MFS9091.jpg",I_MFS9091,moth,,
"Crinodes_schausi,I_MFS9092.jpg",I_MFS9092,Crinodes schausi,,
"Simopteryx_torquataria,I_MFS9093.jpg",I_MFS9093,Simopteryx torquataria,,
"Gn_sp_san_luis_1011,I_MFS9094.jpg",I_MFS9094,Gn sp_san_luis_1011,,
"moth_Notodontidae,I_MFS9095.jpg",I_MFS9095,moth Notodontidae,,
"Semaeopus_viridiplaga,I_MFS9096.jpg",I_MFS9096,Semaeopus viridiplaga,,
"moth,I_MFS9097.jpg",I_MFS9097,moth,,
"Orthofidonia_sp_san_luis_a,I_MFS9098.jpg",I_MFS9098,Orthofidonia sp_san_luis_a,,
"Hygrochroma_olivinaria,I_MFS9099.jpg",I_MFS9099,Hygrochroma olivinaria,,
"moth,I_MFS9100.jpg",I_MFS9100,moth,,
"Lophocampa_citrina,I_MFS9101.jpg",I_MFS9101,Lophocampa citrina,,
"Euglyphis_libnites,I_MFS9102.jpg",I_MFS9102,Euglyphis libnites,,
"Gn_sp_san_luis_1004,I_MFS9103.jpg",I_MFS9103,Gn sp_san_luis_1004,,
"moth_Geometridae,I_MFS9104.jpg",I_MFS9104,moth Geometridae,,
"moth_Sphingidae,I_MFS9105.jpg",I_MFS9105,moth Sphingidae,,
"Nepheloleuca_politia,I_MFS9106.jpg",I_MFS9106,Nepheloleuca politia,,
"Meganola_sp_san_luis_b,I_MFS9107.jpg",I_MFS9107,Meganola sp_san_luis_b,,
"Synchlora_gerularia,I_MFS9108.jpg",I_MFS9108,Synchlora gerularia,,
"moth_Geometridae,I_MFS9109.jpg",I_MFS9109,moth Geometridae,,
"moth_Megalopygidae_-_Limacodidae,I_MFS9110.jpg",I_MFS9110,moth Megalopygidae - Limacodidae,,
"Rhabdatomis_laudamia,I_MFS9111.jpg",I_MFS9111,Rhabdatomis laudamia,,
"moth_Notodontidae,I_MFS9112.jpg",I_MFS9112,moth Notodontidae,,
"moth_Noctuidae,I_MFS9113.jpg",I_MFS9113,moth Noctuidae,,
"moth_Notodontidae,I_MFS9114.jpg",I_MFS9114,moth Notodontidae,,
"Hygrochroma_olivinaria,I_MFS9115.jpg",I_MFS9115,Hygrochroma olivinaria,,
"Nematocampa_completa,I_MFS9116.jpg",I_MFS9116,Nematocampa completa,,
"moth,I_MFS9117.jpg",I_MFS9117,moth,,
"Nepheloleuca_illiturata,I_MFS9118.jpg",I_MFS9118,Nepheloleuca illiturata,,
"moth_Noctuidae,I_MFS9119.jpg",I_MFS9119,moth Noctuidae,,
"Oospila_venezuelata,I_MFS9120.jpg",I_MFS9120,Oospila venezuelata,,
"insect,I_MFS9121.jpg",I_MFS9121,insect,,
"moth_Noctuidae,I_MFS9122.jpg",I_MFS9122,moth Noctuidae,,
"Oospila_venezuelata,I_MFS9123.jpg",I_MFS9123,Oospila venezuelata,,
"Phyllodonta_latrata,I_MFS9124.jpg",I_MFS9124,Phyllodonta latrata,,
"Oospila_venezuelata,I_MFS9125.jpg",I_MFS9125,Oospila venezuelata,,
"moth,I_MFS9126.jpg",I_MFS9126,moth,,
"Melese_amastris,I_MFS9127.jpg",I_MFS9127,Melese amastris,,
"Nematocampa_completa,I_MFS9128.jpg",I_MFS9128,Nematocampa completa,,
"Meganola_sp_san_luis_b,I_MFS9129.jpg",I_MFS9129,Meganola sp_san_luis_b,,
"Meganola_sp_san_luis_b,I_MFS9130.jpg",I_MFS9130,Meganola sp_san_luis_b,,
"moth_Geometridae,I_MFS9131.jpg",I_MFS9131,moth Geometridae,,
"Oospila_venezuelata,I_MFS9132.jpg",I_MFS9132,Oospila venezuelata,,
"moth_Notodontidae,I_MFS9133.jpg",I_MFS9133,moth Notodontidae,,
"Thysanopyga_carfinia,I_MFS9134.jpg",I_MFS9134,Thysanopyga carfinia,,
"Neotherina_imperilla,I_MFS9135.jpg",I_MFS9135,Neotherina imperilla,,
"moth,I_MFS9136.jpg",I_MFS9136,moth,,
"moth_Notodontidae,I_MFS9137.jpg",I_MFS9137,moth Notodontidae,,
"moth_Notodontidae,I_MFS9138.jpg",I_MFS9138,moth Notodontidae,,
"moth_Geometridae,I_MFS9139.jpg",I_MFS9139,moth Geometridae,,
"moth_Geometridae,I_MFS9140.jpg",I_MFS9140,moth Geometridae,,
"Phyllodonta_latrata,I_MFS9141.jpg",I_MFS9141,Phyllodonta latrata,,
"moth_Notodontidae,I_MFS9142.jpg",I_MFS9142,moth Notodontidae,,
"moth,I_MFS9143.jpg",I_MFS9143,moth,,
"moth_Noctuidae,I_MFS9144.jpg",I_MFS9144,moth Noctuidae,,
"Nemoria_defectiva,I_MFS9145.jpg",I_MFS9145,Nemoria defectiva,,
"Euglyphis_libnites,I_MFS9146.jpg",I_MFS9146,Euglyphis libnites,,
"Gn_sp_san_luis_2008,I_MFS9147.jpg",I_MFS9147,Gn sp_san_luis_2008,,
"moth_Noctuidae,I_MFS9148.jpg",I_MFS9148,moth Noctuidae,,
"insect,I_MFS9149.jpg",I_MFS9149,insect,,
"moth_Notodontidae,I_MFS9150.jpg",I_MFS9150,moth Notodontidae,,
"Opisthoxia_miletia,I_MFS9151.jpg",I_MFS9151,Opisthoxia miletia,,
"insect,I_MFS9152.jpg",I_MFS9152,insect,,
"moth_emerald,I_MFS9153.jpg",I_MFS9153,moth emerald,,
"moth,I_MFS9154.jpg",I_MFS9154,moth,,
"moth_species_group2,I_MFS9155.jpg",I_MFS9155,moth species group2,,
"Gn_sp_san_luis_1005,I_MFS9156.jpg",I_MFS9156,Gn sp_san_luis_1005,,
"Sphacelodes_vulneraria,I_MFS9157.jpg",I_MFS9157,Sphacelodes vulneraria,,
"Anisoperas_lurida,I_MFS9158.jpg",I_MFS9158,Anisoperas lurida,,
"moth_Saturniidae,I_MFS9159.jpg",I_MFS9159,moth Saturniidae,,
"insect,I_MFS9160.jpg",I_MFS9160,insect,,
"Oxydia_trychiata,I_MFS9161.jpg",I_MFS9161,Oxydia trychiata,,
"moth_Notodontidae,I_MFS9162.jpg",I_MFS9162,moth Notodontidae,,
