Filename,Identifier,scientificName,CommonName,Comments
"moth_Crambidae,I_MFS14647.jpg",I_MFS14647,moth Crambidae,,
"moth_emerald,I_MFS14648.jpg",I_MFS14648,moth emerald,,
"moth_Noctuidae,I_MFS14649.jpg",I_MFS14649,moth Noctuidae,,
"moth,I_MFS14650.jpg",I_MFS14650,moth,,
"moth_Crambidae,I_MFS14651.jpg",I_MFS14651,moth Crambidae,,
"insect,I_MFS14652.jpg",I_MFS14652,insect,,
"moth_Crambidae,I_MFS14654.jpg",I_MFS14654,moth Crambidae,,
"moth,I_MFS14655.jpg",I_MFS14655,moth,,
"moth_Pyralidae,I_MFS14656.jpg",I_MFS14656,moth Pyralidae,,
"moth,I_MFS14657.jpg",I_MFS14657,moth,,
"Iridopsis_lurida--oberthuri--herse,I_MFS14658.jpg",I_MFS14658,Iridopsis lurida--oberthuri--herse,,
"Xylophanes_anubus,I_MFS14659.jpg",I_MFS14659,Xylophanes anubus,,
"Rhabdatomis_laudamia,I_MFS14660.jpg",I_MFS14660,Rhabdatomis laudamia,,
"insect,I_MFS14661.jpg",I_MFS14661,insect,,
"Eupithecia_sp_group_san_luis,I_MFS14662.jpg",I_MFS14662,Eupithecia sp_group_san_luis,,
"moth_Notodontidae,I_MFS14663.jpg",I_MFS14663,moth Notodontidae,,
"moth_Arctiidae,I_MFS14664.jpg",I_MFS14664,moth Arctiidae,,
"insect,I_MFS14665.jpg",I_MFS14665,insect,,
"moth,I_MFS14666.jpg",I_MFS14666,moth,,
"Micrathetis_dasarada,I_MFS14667.jpg",I_MFS14667,Micrathetis dasarada,,
"Opisthoxia_miletia,I_MFS14668.jpg",I_MFS14668,Opisthoxia miletia,,
"moth,I_MFS14669.jpg",I_MFS14669,moth,,
"Clemensia_cincinnata,I_MFS14670.jpg",I_MFS14670,Clemensia cincinnata,,
"Rhabdatomis_laudamia,I_MFS14671.jpg",I_MFS14671,Rhabdatomis laudamia,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_MFS14672.jpg",I_MFS14672,Afrida ydatodes,Dyars Lichen Moth,
"moth_Notodontidae,I_MFS14673.jpg",I_MFS14673,moth Notodontidae,,
"moth_Notodontidae,I_MFS14674.jpg",I_MFS14674,moth Notodontidae,,
"moth,I_MFS14675.jpg",I_MFS14675,moth,,
"Rhabdatomis_laudamia,I_MFS14676.jpg",I_MFS14676,Rhabdatomis laudamia,,
"moth,I_MFS14677.jpg",I_MFS14677,moth,,
"moth,I_MFS14678.jpg",I_MFS14678,moth,,
"moth_Crambidae,I_MFS14679.jpg",I_MFS14679,moth Crambidae,,
"moth,I_MFS14680.jpg",I_MFS14680,moth,,
"Micrathetis_dasarada,I_MFS14681.jpg",I_MFS14681,Micrathetis dasarada,,
"Rhabdatomis_laudamia,I_MFS14682.jpg",I_MFS14682,Rhabdatomis laudamia,,
"Clemensia_brunneomedia,I_MFS14683.jpg",I_MFS14683,Clemensia brunneomedia,,
"Micrathetis_dasarada,I_MFS14684.jpg",I_MFS14684,Micrathetis dasarada,,
"moth,I_MFS14685.jpg",I_MFS14685,moth,,
"moth,I_MFS14686.jpg",I_MFS14686,moth,,
"Rhabdatomis_laudamia,I_MFS14687.jpg",I_MFS14687,Rhabdatomis laudamia,,
"moth,I_MFS14688.jpg",I_MFS14688,moth,,
"moth_Crambidae,I_MFS14689.jpg",I_MFS14689,moth Crambidae,,
"moth,I_MFS14690.jpg",I_MFS14690,moth,,
"moth,I_MFS14691.jpg",I_MFS14691,moth,,
"moth_Noctuidae,I_MFS14692.jpg",I_MFS14692,moth Noctuidae,,
"Micrathetis_dasarada,I_MFS14693.jpg",I_MFS14693,Micrathetis dasarada,,
"moth,I_MFS14694.jpg",I_MFS14694,moth,,
"moth,I_MFS14695.jpg",I_MFS14695,moth,,
"moth,I_MFS14696.jpg",I_MFS14696,moth,,
"moth_Pyralidae,I_MFS14697.jpg",I_MFS14697,moth Pyralidae,,
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_MFS14698.jpg",I_MFS14698,Lophosis labeculata,Stained Lophosis Moth,
"moth_Pyralidae,I_MFS14699.jpg",I_MFS14699,moth Pyralidae,,
"moth,I_MFS14700.jpg",I_MFS14700,moth,,
"moth_Noctuidae,I_MFS14701.jpg",I_MFS14701,moth Noctuidae,,
"moth_Noctuidae_delta,I_MFS14702.jpg",I_MFS14702,moth Noctuidae delta,,
"moth,I_MFS14703.jpg",I_MFS14703,moth,,
"moth_Crambidae,I_MFS14704.jpg",I_MFS14704,moth Crambidae,,
